"Source:","/home/cgk/MPLABXProjects/HelloInterrupt.X/schematics/KiCAD_project/PIC_Timer/PIC_Timer.kicad_sch"
"Date:","Mon 30 May 2022 12:20:11 AM PDT"
"Tool:","Eeschema 6.0.5-a6ca702e91~116~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","25"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, C2, ","2","10uf","C_Polarized","Capacitor_Tantalum_SMD:CP_EIA-3216-10_Kemet-I_Pad1.58x1.35mm_HandSolder","Polarized capacitor",""
"C3, ","1","10uf","C_Polarized","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","Polarized capacitor",""
"D1, D2, D4, ","3","CD4148W","CD4148W","Diode_SMD:D_0805_2012Metric","75V 0.15A Switching Diode, 0805",""
"D3, ","1","LED","LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","Light emitting diode",""
"J1, ","1","12V Power","Conn_01x02_Female","Connector:JWT_A3963_1x02_P3.96mm_Vertical","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J2, ","1","Trigger","Conn_01x02_Female","Connector:JWT_A3963_1x02_P3.96mm_Vertical","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J3, ","1","ICSP","Conn_02x03_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","Generic connector, double row, 02x03, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J4, ","1","Retrigger","Conn_01x01_Male","Connector_Pin:Pin_D0.7mm_L6.5mm_W1.8mm_FlatFork","Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J5, ","1","Load","Conn_01x02_Female","Connector:JWT_A3963_1x02_P3.96mm_Vertical","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"Q1, ","1","BC847","BC847","Package_TO_SOT_SMD:SOT-23","0.1A Ic, 45V Vce, NPN Transistor, SOT-23",""
"Q2, ","1","FQP27P06","FQP27P06","Package_TO_SOT_THT:TO-220-3_Vertical","-27A Id, -60V Vds, QFET P-Channel MOSFET, TO-220",""
"R1, R2, R3, R5, R6, R7, R8, R9, ","8","10K","R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor",""
"R4, ","1","1K","R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor",""
"U1, ","1","HT7550","HT75xx-1-SOT89","Package_TO_SOT_SMD:SOT-89-3","100mA Low Dropout Voltage Regulator, Fixed Output, SOT89",""
"U2, ","1","PIC12F1572","PIC12F1501-IP","Package_DIP:DIP-8_W7.62mm","1024W FLASH, 64B SRAM, PDIP8",""
